
"約定履歴"

"商品指定","約定開始年月日","約定終了年月日"
"すべて","2024年02月17日","2026年02月16日"

"国内約定日","銘柄","銘柄コード","市場","商品区分","注文種別","取引","預り区分","約定数量","約定単価","国内受渡日","受渡金額/決済損益"
"2025/08/19","カーヴァナ","CVNA","NYSE","米国株式","成行","現買","特定","6","357.2400USD","2025/08/21","2,154.05USD"
"2025/08/15","アップラビン A","APP","NASDAQ","米国株式","成行","現売","特定","4","427.3100USD","2025/08/19","1,700.78USD"
"2025/08/12","パランティア テクノロジーズ A","PLTR","NASDAQ","米国株式","成行","現売","特定","1","184.2700USD","2025/08/14","183.36USD"
"2025/08/12","パランティア テクノロジーズ A","PLTR","NASDAQ","米国株式","成行","現売","特定","4","184.4700USD","2025/08/14","734.23USD"
"2025/08/12","イーライ リリィ","LLY","NYSE","米国株式","成行","現売","特定","1","635.6900USD","2025/08/14","632.55USD"
"2025/08/12","アップラビン A","APP","NASDAQ","米国株式","成行","現買","特定","4","465.2500USD","2025/08/14","1,870.21USD"
"2025/08/12","ドアダッシュ A","DASH","NASDAQ","米国株式","成行","現買","特定","6","256.6000USD","2025/08/14","1,547.22USD"
"2025/08/08","ペガシステムズ","PEGA","NASDAQ","米国株式","成行","現売","特定","53","55.4998USD","2025/08/13","2,926.93USD"
"2025/08/08","イーライ リリィ","LLY","NYSE","米国株式","成行","現買","NISA","1","639.4600USD","2025/08/13","639.46USD"
"2025/08/07","ユニティソフトウェア","U","NYSE","米国株式","成行","現売","特定","15","34.4224USD","2025/08/12","513.79USD"
"2025/08/07","ユニティソフトウェア","U","NYSE","米国株式","成行","現買","特定","15","36.8050USD","2025/08/12","554.81USD"
"2025/08/06","メタ プラットフォームズ A","META","NASDAQ","米国株式","成行","現買","NISA","2","778.8300USD","2025/08/08","1,557.66USD"
"2025/08/04","インターナショナル ビジネス マシーンズ","IBM","NYSE","米国株式","成行","現売","NISA","7","249.4600USD","2025/08/06","1,746.22USD"
"2025/07/28","ネットフリックス","NFLX","NASDAQ","米国株式","成行","現売","特定","1","1,176.5400USD","2025/07/30","1,170.72USD"
"2025/07/28","アンフェノール A","APH","NYSE","米国株式","成行","現買","特定","9","105.7300USD","2025/07/30","956.28USD"
"2025/07/28","インターナショナル ビジネス マシーンズ","IBM","NYSE","米国株式","成行","現買","NISA","7","260.4000USD","2025/07/30","1,822.80USD"
"2025/07/23","ソーファイ テクノロジーズ A","SOFI","NASDAQ","米国株式","成行","現売","特定","85","20.3500USD","2025/07/25","1,721.19USD"
"2025/07/22","ネットフリックス","NFLX","NASDAQ","米国株式","成行","現買","特定","1","1,206.1050USD","2025/07/24","1,212.08USD"
"2025/07/18","ペガシステムズ","PEGA","NASDAQ","米国株式","成行","現買","特定","35","51.1100USD","2025/07/23","1,797.70USD"
"2025/07/17","テラダイン","TER","NASDAQ","米国株式","成行","現売","NISA","9","90.6100USD","2025/07/22","815.49USD"
"2025/07/17","ストライド","LRN","NYSE","米国株式","成行","現売","特定","17","132.6300USD","2025/07/22","2,243.55USD"
"2025/07/17","ペガシステムズ","PEGA","NASDAQ","米国株式","指値","現買","特定","18","49.8500USD","2025/07/22","901.74USD"
"2025/07/10","ソーファイ テクノロジーズ A","SOFI","NASDAQ","米国株式","指値","現買","特定","85","19.8800USD","2025/07/14","1,698.16USD"
"2025/07/03","パロマー ホールディングス","PLMR","NASDAQ","米国株式","成行","現売","特定","12","142.9200USD","2025/07/07","1,706.56USD"
"2025/07/02","パランティア テクノロジーズ A","PLTR","NASDAQ","米国株式","指値","現買","特定","10","130.0000USD","2025/07/04","1,306.43USD"
"2025/07/02","パロマー ホールディングス","PLMR","NASDAQ","米国株式","成行","現買","特定","12","155.1800USD","2025/07/04","1,871.37USD"
"2025/07/02","ストライド","LRN","NYSE","米国株式","成行","現買","特定","5","146.1200USD","2025/07/04","734.21USD"
"2025/06/27","パロマー ホールディングス","PLMR","NASDAQ","米国株式","成行","現売","特定","10","149.1200USD","2025/07/01","1,483.82USD"
"2025/06/26","ストライド","LRN","NYSE","米国株式","成行","現買","特定","4","144.1400USD","2025/06/30","579.41USD"
"2025/06/24","ストラテジー Inc A","MSTR","NASDAQ","米国株式","成行","現売","NISA","1","360.7090USD","2025/06/26","360.71USD"
"2025/06/24","ドアダッシュ A","DASH","NASDAQ","米国株式","成行","現買","特定","5","229.5950USD","2025/06/26","1,153.66USD"
"2025/06/17","チポトレ メキシカン グリル","CMG","NYSE","米国株式","成行","現売","特定","10","52.0150USD","2025/06/19","517.58USD"
"2025/06/17","ニュータニックス A","NTNX","NASDAQ","米国株式","成行","現売","特定","18","71.5712USD","2025/06/19","1,281.92USD"
"2025/06/17","ストライド","LRN","NYSE","米国株式","成行","現買","特定","8","144.2600USD","2025/06/19","1,159.79USD"
"2025/06/12","パロマー ホールディングス","PLMR","NASDAQ","米国株式","成行","現買","特定","10","157.8200USD","2025/06/16","1,586.01USD"
"2025/06/11","サービスナウ","NOW","NYSE","米国株式","成行","現売","特定","1","1,014.1700USD","2025/06/13","1,009.15USD"
"2025/06/10","ストライド","LRN","NYSE","米国株式","成行","現売","特定","9","139.6600USD","2025/06/12","1,250.72USD"
"2025/06/09","Direxionデイリー半導体株ブル3倍ETF","SOXL","NYSE Arca","米国株式","成行","現売","特定","15","19.5950USD","2025/06/11","292.48USD"
"2025/06/06","Direxionデイリー半導体株ブル3倍ETF","SOXL","NYSE Arca","米国株式","成行","現買","特定","15","19.9550USD","2025/06/10","300.81USD"
"2025/06/03","セールスフォース","CRM","NYSE","米国株式","成行","現売","NISA","1","260.7600USD","2025/06/05","260.76USD"
"2025/06/03","チポトレ メキシカン グリル","CMG","NYSE","米国株式","成行","現売","特定","10","49.7000USD","2025/06/05","494.54USD"
"2025/06/03","クリスタル バイオテック","KRYS","NASDAQ","米国株式","成行","現売","特定","2","125.8700USD","2025/06/05","250.50USD"
"2025/06/03","iシェアーズ 米国国債 20年超 ETF","TLT","NASDAQ","米国株式","成行","現売","特定","6","85.2500USD","2025/06/05","508.97USD"
"2025/06/03","ストライド","LRN","NYSE","米国株式","成行","現買","特定","9","151.1100USD","2025/06/05","1,366.72USD"
"2025/06/03","ニュータニックス A","NTNX","NASDAQ","米国株式","成行","現買","特定","18","77.4300USD","2025/06/05","1,400.63USD"
"2025/06/03","メタ プラットフォームズ A","META","NASDAQ","米国株式","成行","現買","NISA","1","644.9300USD","2025/06/05","644.93USD"
"2025/06/03","イーライ リリィ","LLY","NYSE","米国株式","成行","現買","NISA","1","732.5000USD","2025/06/05","732.50USD"
"2025/06/02","ユニティソフトウェア","U","NYSE","米国株式","成行","現売","特定","18","27.1600USD","2025/06/04","486.47USD"
"2025/06/02","クリスタル バイオテック","KRYS","NASDAQ","米国株式","成行","現買","特定","2","125.3800USD","2025/06/04","252.00USD"
"2025/05/28","iシェアーズ 米国国債 20年超 ETF","TLT","NASDAQ","米国株式","成行","現売","特定","2","85.2150USD","2025/05/30","169.59USD"
"2025/05/28","アッヴィ","ABBV","NYSE","米国株式","成行","現売","特定","4","184.5000USD","2025/05/30","734.35USD"
"2025/05/28","チャーチ アンド ドワイト","CHD","NYSE","米国株式","成行","現売","NISA","2","96.1600USD","2025/05/30","192.32USD"
"2025/05/28","チャーチ アンド ドワイト","CHD","NYSE","米国株式","成行","現売","特定","2","96.1600USD","2025/05/30","191.37USD"
"2025/05/28","ST 金融セレクト セクター SPDR ETF","XLF","NYSE Arca","米国株式","成行","現売","特定","16","50.4700USD","2025/05/30","803.53USD"
"2025/05/28","テラダイン","TER","NASDAQ","米国株式","成行","現買","NISA","1","79.8400USD","2025/05/30","79.84USD"
"2025/05/28","ストラテジー Inc A","MSTR","NASDAQ","米国株式","成行","現買","NISA","1","373.3900USD","2025/05/30","373.39USD"
"2025/05/28","テラダイン","TER","NASDAQ","米国株式","成行","現買","NISA","8","79.6750USD","2025/05/30","637.40USD"
"2025/05/28","メタ プラットフォームズ A","META","NASDAQ","米国株式","成行","現買","NISA","1","637.2400USD","2025/05/30","637.24USD"
"2025/05/28","イーライ リリィ","LLY","NYSE","米国株式","成行","現買","NISA","1","719.3500USD","2025/05/30","719.35USD"
"2025/05/20","セールスフォース","CRM","NYSE","米国株式","成行","現買","NISA","1","288.7100USD","2025/05/22","288.71USD"
"2025/05/19","エヌビディア","NVDA","NASDAQ","米国株式","成行","現売","特定","4","135.0050USD","2025/05/21","537.35USD"
"2025/05/16","アマゾン ドットコム","AMZN","NASDAQ","米国株式","成行","現売","NISA","1","205.0912USD","2025/05/20","205.10USD"
"2025/05/16","ユナイテッドヘルス グループ","UNH","NYSE","米国株式","成行","現売","特定","1","256.6522USD","2025/05/20","255.39USD"
"2025/05/16","イーライ リリィ","LLY","NYSE","米国株式","成行","現買","特定","1","726.5300USD","2025/05/20","730.12USD"
"2025/05/15","Direxionデイリー半導体株ブル3倍ETF","SOXL","NYSE Arca","米国株式","成行","現売","特定","70","18.7007USD","2025/05/19","1,302.58USD"
"2025/05/15","チポトレ メキシカン グリル","CMG","NYSE","米国株式","成行","現買","特定","20","51.3600USD","2025/05/19","1,032.28USD"
"2025/05/13","エヌビディア","NVDA","NASDAQ","米国株式","成行","現売","特定","2","120.9600USD","2025/05/15","240.73USD"
"2025/05/13","チャーチ アンド ドワイト","CHD","NYSE","米国株式","成行","現買","NISA","2","94.3350USD","2025/05/15","188.67USD"
"2025/05/13","チャーチ アンド ドワイト","CHD","NYSE","米国株式","成行","現買","特定","2","94.2900USD","2025/05/15","189.51USD"
"2025/04/11","Direxionデイリー半導体株ブル3倍ETF","SOXL","NYSE Arca","米国株式","成行","現買","特定","70","10.8500USD","2025/04/15","763.25USD"
"2025/04/04","Direxionデイリー半導体株ブル3倍ETF","SOXL","NYSE Arca","米国株式","成行","現売","特定","70","12.3250USD","2025/04/08","858.48USD"
"2024/11/26","チャーチ アンド ドワイト","CHD","NYSE","米国株式","成行","現売","特定","7","112.3900USD","2024/11/28","782.84USD"
"2024/11/26","アッヴィ","ABBV","NYSE","米国株式","成行","現買","特定","4","178.7650USD","2024/11/28","718.59USD"
"2024/11/05","ユニティソフトウェア","U","NYSE","米国株式","成行","現買","特定","18","20.6600USD","2024/11/07","373.72USD"
"2024/11/05","メタ プラットフォームズ A","META","NASDAQ","米国株式","成行","現買","特定","1","564.6000USD","2024/11/07","567.39USD"
"2024/09/27","Direxionデイリー半導体株ブル3倍ETF","SOXL","NYSE Arca","米国株式","成行","現売","特定","24","38.5205USD","2024/10/01","919.93USD"
"2024/08/27","Direxionデイリー半導体株ブル3倍ETF","SOXL","NYSE Arca","米国株式","成行","現買","特定","24","38.2700USD","2024/08/29","923.02USD"
"2024/08/27","チャーチ アンド ドワイト","CHD","NYSE","米国株式","成行","現買","特定","7","102.0000USD","2024/08/29","717.53USD"
"2024/08/20","ネクステラ エナジー","NEE","NYSE","米国株式","成行","現売","特定","10","78.5400USD","2024/08/22","781.52USD"
"2024/08/20","iシェアーズ 米国国債 20年超 ETF","TLT","NASDAQ","米国株式","成行","現買","特定","8","97.4550USD","2024/08/22","783.49USD"
"2024/08/15","ST 金融セレクト セクター SPDR ETF","XLF","NYSE Arca","米国株式","成行","現買","特定","16","42.8050USD","2024/08/19","688.27USD"
"2024/08/13","エヌビディア","NVDA","NASDAQ","米国株式","成行","現売","特定","10","109.9750USD","2024/08/15","1,094.31USD"
"2024/08/13","エクソン モービル","XOM","NYSE","米国株式","成行","現売","特定","10","119.6800USD","2024/08/15","1,190.88USD"
"2024/08/13","プロクター & ギャンブル","PG","NYSE","米国株式","成行","現売","特定","4","170.0000USD","2024/08/15","676.64USD"
"2024/08/13","Direxionデイリー半導体株ブル3倍ETF","SOXL","NYSE Arca","米国株式","成行","現買","特定","70","31.6050USD","2024/08/15","2,223.30USD"
"2024/08/07","アマゾン ドットコム","AMZN","NASDAQ","米国株式","成行","現買","NISA","1","163.0995USD","2024/08/09","163.10USD"
"2024/08/07","メタ プラットフォームズ A","META","NASDAQ","米国株式","成行","現買","特定","1","500.1495USD","2024/08/09","502.62USD"
"2024/08/07","サービスナウ","NOW","NYSE","米国株式","成行","現買","特定","1","809.9995USD","2024/08/09","814.00USD"
"2024/08/07","エヌビディア","NVDA","NASDAQ","米国株式","成行","現買","特定","20","105.0495USD","2024/08/09","2,111.38USD"
"2024/08/06","メタ プラットフォームズ A","META","NASDAQ","米国株式","成行","現売","特定","3","467.8800USD","2024/08/08","1,396.70USD"
"2024/08/06","ビザ A","V","NYSE","米国株式","成行","現売","特定","3","261.1600USD","2024/08/08","779.61USD"
"2024/08/06","シェブロン","CVX","NYSE","米国株式","成行","現売","特定","8","144.7500USD","2024/08/08","1,152.27USD"
"2024/08/06","メタ プラットフォームズ A","META","NASDAQ","米国株式","成行","現買","特定","3","473.4600USD","2024/08/08","1,427.41USD"
"2024/08/05","セールスフォース","CRM","NYSE","米国株式","成行","現売","NISA","2","241.4800USD","2024/08/07","482.96USD"
"2024/08/05","サービスナウ","NOW","NYSE","米国株式","成行","現売","NISA","1","766.8200USD","2024/08/07","766.82USD"
"2024/08/05","アドビ","ADBE","NASDAQ","米国株式","成行","現売","NISA","4","524.5200USD","2024/08/07","2,098.08USD"
"2024/08/05","アマゾン ドットコム","AMZN","NASDAQ","米国株式","成行","現売","NISA","12","161.7550USD","2024/08/07","1,941.06USD"
"2024/08/05","ユナイテッドヘルス グループ","UNH","NYSE","米国株式","成行","現買","特定","1","582.8800USD","2024/08/07","585.76USD"
"2024/08/05","ビザ A","V","NYSE","米国株式","成行","現買","特定","3","265.3000USD","2024/08/07","799.83USD"
"2024/08/05","プロクター & ギャンブル","PG","NYSE","米国株式","成行","現買","特定","4","167.3150USD","2024/08/07","672.57USD"
"2024/08/05","エクソン モービル","XOM","NYSE","米国株式","成行","現買","特定","10","118.0000USD","2024/08/07","1,185.84USD"
"2024/08/05","シェブロン","CVX","NYSE","米国株式","成行","現買","特定","8","149.5100USD","2024/08/07","1,202.00USD"
"2024/08/05","ネクステラ エナジー","NEE","NYSE","米国株式","成行","現買","特定","10","78.1200USD","2024/08/07","785.06USD"
"2024/08/02","ロジテック・インターナショナル","LOGI","NASDAQ","米国株式","成行","現売","NISA","10","88.0200USD","2024/08/06","880.20USD"
"2024/08/01","インフォシス ADR","INFY","NYSE","米国株式","成行","現売","NISA","20","22.0605USD","2024/08/05","441.21USD"
"2024/07/30","アマゾン ドットコム","AMZN","NASDAQ","米国株式","成行","現買","NISA","12","183.6400USD","2024/08/01","2,203.68USD"
"2024/07/29","インフォシス ADR","INFY","NYSE","米国株式","成行","現買","NISA","20","22.5000USD","2024/07/31","450.00USD"
"2024/07/26","ゼネラル モーターズ","GM","NYSE","米国株式","成行","現売","NISA","15","44.4800USD","2024/07/30","667.20USD"
"2024/07/25","エヌビディア","NVDA","NASDAQ","米国株式","成行","現売","特定","1","117.9820USD","2024/07/29","117.41USD"
"2024/07/25","エヌビディア","NVDA","NASDAQ","米国株式","成行","現買","特定","1","117.6150USD","2024/07/29","118.20USD"
"2024/07/24","ロジテック・インターナショナル","LOGI","NASDAQ","米国株式","成行","現買","NISA","10","89.4000USD","2024/07/26","894.00USD"
"2024/07/23","ゼネラル モーターズ","GM","NYSE","米国株式","成行","現買","NISA","15","48.4600USD","2024/07/25","726.90USD"
"2024/07/23","サービスナウ","NOW","NYSE","米国株式","成行","現買","NISA","1","754.8100USD","2024/07/25","754.81USD"
"2024/07/23","アドビ","ADBE","NASDAQ","米国株式","成行","現買","NISA","4","558.6500USD","2024/07/25","2,234.60USD"
"2024/07/22","インテル","INTC","NASDAQ","米国株式","成行","現売","NISA","8","34.5000USD","2024/07/24","276.00USD"
"2024/07/22","DR ホートン","DHI","NYSE","米国株式","成行","現売","NISA","2","174.6200USD","2024/07/24","349.24USD"
"2024/07/22","フォーティネット","FTNT","NASDAQ","米国株式","成行","現売","NISA","5","58.1200USD","2024/07/24","290.60USD"
"2024/07/22","アジェナス","AGEN","NASDAQ","米国株式","成行","現売","NISA","100","7.0000USD","2024/07/24","700.00USD"
"2024/07/19","マイクロン テクノロジー","MU","NASDAQ","米国株式","成行","現売","NISA","1","115.7300USD","2024/07/23","115.73USD"
"2024/07/19","アジェナス","AGEN","NASDAQ","米国株式","成行","現買","NISA","100","8.0400USD","2024/07/23","804.00USD"
"2024/07/18","インテル","INTC","NASDAQ","米国株式","成行","現売","NISA","20","36.1300USD","2024/07/22","722.60USD"
"2024/07/16","DR ホートン","DHI","NYSE","米国株式","成行","現売","NISA","3","152.9800USD","2024/07/18","458.94USD"
"2024/07/16","セールスフォース","CRM","NYSE","米国株式","成行","現売","NISA","5","256.0200USD","2024/07/18","1,280.10USD"
"2024/07/16","フォーティネット","FTNT","NASDAQ","米国株式","成行","現買","NISA","5","60.5100USD","2024/07/18","302.55USD"
"2024/07/16","セールスフォース","CRM","NYSE","米国株式","成行","現買","NISA","2","254.8300USD","2024/07/18","509.66USD"
"2024/07/16","DR ホートン","DHI","NYSE","米国株式","成行","現買","NISA","1","153.7100USD","2024/07/18","153.71USD"
"2024/07/16","DR ホートン","DHI","NYSE","米国株式","成行","現買","NISA","1","153.8000USD","2024/07/18","153.80USD"
"2024/07/16","DR ホートン","DHI","NYSE","米国株式","成行","現買","NISA","3","153.8000USD","2024/07/18","461.40USD"
"2024/07/12","マイクロン テクノロジー","MU","NASDAQ","米国株式","成行","現買","NISA","1","131.0200USD","2024/07/17","131.02USD"
"2024/07/10","インテル","INTC","NASDAQ","米国株式","成行","現売","NISA","28","35.0000USD","2024/07/12","980.00USD"
"2024/07/10","インテル","INTC","NASDAQ","米国株式","成行","現買","NISA","28","34.8100USD","2024/07/12","974.68USD"
"2024/07/10","セールスフォース","CRM","NYSE","米国株式","成行","現買","NISA","5","256.0900USD","2024/07/12","1,280.45USD"
"2024/07/09","セールスフォース","CRM","NYSE","米国株式","成行","現売","特定","5","259.0700USD","2024/07/11","207,146円"
"2024/07/09","インテル","INTC","NASDAQ","米国株式","成行","現買","NISA","25","33.4400USD","2024/07/11","134,771円"
"2024/07/09","インテル","INTC","NASDAQ","米国株式","成行","現買","NISA","3","33.4200USD","2024/07/11","16,162円"
"2024/07/09","セールスフォース","CRM","NYSE","米国株式","成行","現買","特定","5","259.0950USD","2024/07/11","209,877円"
